Variable Name,Type,Unit,Source ,Description
OBJECTID_1,Numeric,unitless,DataVic (Traffic Volume Dataset),Internal unique identifier for the record.
HMGNS_LN_1,String,unitless,DataVic (Traffic Volume Dataset),Homogeneous location link description.
LGA_SHORT_,String,unitless,DataVic (Traffic Volume Dataset),Abbreviated name of the Local Government Area (LGA) where the data was collected.
RGN_LONG_N,String,unitless,DataVic (Traffic Volume Dataset),VicRoads Region Name.
ROAD_NBR,String,unitless,DataVic (Traffic Volume Dataset),VicRoads administrative road classification number.
DECLARED_R,String,unitless,DataVic (Traffic Volume Dataset),Declared Roads' in the state of Victoria. About 15% of Victorian roads are declared roads and the remaining 85% are local roads.
LOCAL_ROAD,String,unitless,DataVic (Traffic Volume Dataset),Local Road Name and Road Type.
RMA_CLSFCN,Categorical,unitless,DataVic (Traffic Volume Dataset),"Road Management Act (2004) Classification Code, where Freeway (including Tollways) shown as ""FW"" and Arterial Roads (i.e. Arterial Highway shown as ""AH"" and Arterial Other shown as ""AO"")."
SRNS_CD,String,unitless,DataVic (Traffic Volume Dataset),State Road Number Code.
ALLVEHS_AA,Numeric,vehicles/day,DataVic (Traffic Volume Dataset),"Average annual daily traffic (AADT) for all vehicles, calculated as yearly volume divided by 365."
TRUCKS_AAD,Numeric,trucks/day,DataVic (Traffic Volume Dataset),"Average annual daily traffic (AADT) for trucks, calculated as yearly volume divided by 365."
SEAL_WIDTH,Numeric,m,DataVic (Road Width and Number of Lanes Dataset),"Total sealed width, including through traffic lanes and left/right sealed shoulders (in metres)."
Surface_Ty,Categorical,unitless,DataVic (Pavement Condition Dataset),"Type of road surface material (e.g. Asphalt, Stone Seal, Ultra Thin Asphalt, Concrete, High Friction Surface Treatment, Gravel, Other)."
HATI_Categ,Categorical,unitless,DataVic (Pavement Condition Dataset),"Heavy Articulated Truck Index (HATI) category, measuring the impact of heavy vehicles on road surface condition."
Texture__L,Categorical,unitless,DataVic (Pavement Condition Dataset),"Surface texture in the left wheel path, indicating skid resistance and drainage properties."
Texture__B,Categorical,unitless,DataVic (Pavement Condition Dataset),"Surface texture in the between-wheel path, indicating skid resistance and drainage properties."
FLOW,String,unitless,DataVic (Traffic Volume Dataset),Direction of traffic flow (e.g. East Bound).
